Wavelength	MAC_ARB_098_044_210422_L00001.asd
350	 0.61072560485647 
351	 0.480991188678012 
352	-0.188761641377517 
353	-0.24285534435571 
354	 7.21719402844194E-02 
355	 0.152807866410883 
356	-9.73998233328122E-02 
357	-0.117108916875524 
358	-0.165365537909629 
359	-0.201234622928241 
360	-0.147999594663768 
361	 4.94212844857809E-02 
362	 7.37794390899742E-02 
363	 4.42141281288556E-02 
364	 0.13426033215423 
365	 6.28548450990201E-02 
366	 6.14276382944057E-02 
367	 0.143498280119504 
368	 0.025354500021623 
369	 2.06972697686328E-03 
370	 2.88509552851532E-02 
371	 3.40572530400471E-02 
372	 5.49987904621111E-02 
373	 5.53315442146939E-02 
374	 4.12156560566233E-02 
375	 3.94074736500803E-02 
376	 6.00822783623052E-02 
377	 5.45353863439401E-02 
378	 2.68353212712099E-02 
379	 4.04474352428337E-02 
380	 5.04685618168056E-02 
381	 4.68352229480965E-02 
382	 3.68177949543347E-02 
383	 4.95927057957994E-02 
384	 4.93296848206795E-02 
385	 4.48079351406482E-02 
386	 5.99413083325577E-02 
387	 7.48492997808013E-02 
388	 0.057416200088436 
389	 2.54063529205713E-02 
390	 0.045352317941768 
391	 6.06058622305968E-02 
392	 6.41844419385159E-02 
393	 6.01181669556641E-02 
394	 5.07838230606943E-02 
395	 4.98265339703357E-02 
396	 0.05913727735159 
397	 7.28182849121952E-02 
398	 7.63753290487682E-02 
399	 7.69296580785908E-02 
400	 7.55469216933655E-02 
401	 0.065808472417873 
402	 6.52145871897559E-02 
403	 6.60739831111371E-02 
404	 6.03068834712956E-02 
405	 5.10313127796258E-02 
406	 4.17595611756601E-02 
407	 4.55072625367205E-02 
408	 6.89356180999084E-02 
409	 6.33302591127124E-02 
410	 0.058611687714445 
411	 6.22727062268202E-02 
412	 5.23529707729996E-02 
413	 0.050721789500377 
414	 5.16210253131689E-02 
415	 4.92205117634843E-02 
416	 5.27718678075473E-02 
417	 0.051210409622237 
418	 4.88738718130392E-02 
419	 5.49389159186991E-02 
420	 6.18355902599108E-02 
421	 6.08561220095435E-02 
422	 5.21685583903144E-02 
423	 4.59799137635971E-02 
424	 4.94291490810472E-02 
425	 5.73637090231756E-02 
426	 6.28866785424595E-02 
427	 6.33371088972678E-02 
428	 5.98943295471685E-02 
429	 0.056218629395511 
430	 5.68701500428045E-02 
431	 6.43398956078755E-02 
432	 6.72262821473308E-02 
433	 6.21123392045596E-02 
434	 5.80587690216533E-02 
435	 5.67075239326748E-02 
436	 5.70914233710391E-02 
437	 0.057571466015284 
438	 5.82295502901861E-02 
439	 5.89493166080323E-02 
440	 5.90940472821355E-02 
441	 5.80457931499646E-02 
442	 0.060040395009495 
443	 5.95289148233139E-02 
444	 5.61424040394623E-02 
445	 6.21926094859592E-02 
446	 6.14747977032031E-02 
447	 5.79591736289697E-02 
448	 5.99127915584936E-02 
449	 6.12901226883134E-02 
450	 6.07828042060681E-02 
451	 5.85216687471837E-02 
452	 5.59702401520783E-02 
453	 0.058387939028716 
454	 6.07296325926127E-02 
455	 5.90024773203581E-02 
456	 5.60051604165163E-02 
457	 5.77604233302219E-02 
458	 6.04299846246122E-02 
459	 5.75510009430037E-02 
460	 5.95060545442535E-02 
461	 0.061277862055495 
462	 6.06690174758353E-02 
463	 6.05449509493043E-02 
464	 6.11894849914208E-02 
465	 6.15117479639533E-02 
466	 6.07744507660397E-02 
467	 6.07517735700253E-02 
468	 6.11474934269693E-02 
469	 6.14378478187774E-02 
470	 6.11468015310443E-02 
471	 6.20282331888801E-02 
472	 6.15445422142538E-02 
473	 5.96114943880466E-02 
474	 6.15118079989107E-02 
