Wavelength	MAC_ARB_098_xx4_310321_L00001.asd
350	 0.259344087195626 
351	 8.39408646349472E-02 
352	 8.17213051157551E-02 
353	-0.150845185533878 
354	-3.39256839951269E-02 
355	 0.15781121349636 
356	 0.263233799037575 
357	 0.081020995195252 
358	 1.22441674059835E-04 
359	 3.44503077716502E-02 
360	 9.22046733209245E-02 
361	 0.147924530397686 
362	 4.19050523654477E-02 
363	-6.35640613121126E-02 
364	 5.70629097702459E-02 
365	 3.01786621786724E-02 
366	 1.03102983047875E-02 
367	 6.59274163280011E-02 
368	 0.123515146312576 
369	 0.100216782770677 
370	 4.53781179607839E-02 
371	 1.90618632357218E-02 
372	 4.82811241319048E-02 
373	 6.70902460357265E-02 
374	 7.59763992581128E-02 
375	 0.100392364422493 
376	 0.111460230125784 
377	 9.17370166513166E-02 
378	 5.98612062038038E-02 
379	 7.02486720173979E-02 
380	 5.75242761239453E-02 
381	 5.05166952255974E-02 
382	 7.39661167287663E-02 
383	 9.24901592792357E-02 
384	 0.095724083142371 
385	 8.83504468732334E-02 
386	 8.26080553058746E-02 
387	 9.42468257480755E-02 
388	 8.62451707620751E-02 
389	 5.92815463864951E-02 
390	 5.81311568022541E-02 
391	 7.12120232358247E-02 
392	 6.69164777323588E-02 
393	 3.63800868894126E-02 
394	 3.84320466114984E-02 
395	 5.31842569575771E-02 
396	 6.10323137958436E-02 
397	 5.12903919475197E-02 
398	 6.63851264279613E-02 
399	 8.19141213839499E-02 
400	 8.37577983819344E-02 
401	 7.38147263874417E-02 
402	 6.64382774444717E-02 
403	 6.26542908133644E-02 
404	 6.22508371869239E-02 
405	 7.16144606511097E-02 
406	 7.92654867840183E-02 
407	 7.97490559704342E-02 
408	 7.33278921646427E-02 
409	 7.29382875493285E-02 
410	 7.20885263826795E-02 
411	 0.069596574559541 
412	 7.12592234009307E-02 
413	 7.67000385315401E-02 
414	 7.93425798279031E-02 
415	 7.56121190908009E-02 
416	 7.17882228562093E-02 
417	 6.88909810905746E-02 
418	 6.80619878846084E-02 
419	 6.95795171723236E-02 
420	 6.92636170038969E-02 
421	 6.63543799453121E-02 
422	 6.37781340364008E-02 
423	 6.82257832003053E-02 
424	 7.15761810153183E-02 
425	 7.22764138532673E-02 
426	 7.04982814343152E-02 
427	 6.54882910869123E-02 
428	 6.60571212312139E-02 
429	 7.02799697591621E-02 
430	 7.08008048574374E-02 
431	 0.068035726061809 
432	 6.75425112644525E-02 
433	 0.070171637388435 
434	 6.96339883513026E-02 
435	 6.58089437565964E-02 
436	 6.34449815172776E-02 
437	 0.066221798107166 
438	 7.00659570020843E-02 
439	 6.87465142805607E-02 
440	 6.58920748211792E-02 
441	 0.070673782258426 
442	 7.38733509055098E-02 
443	 7.31036102434652E-02 
444	 6.94270094614333E-02 
445	 6.79661582734021E-02 
446	 6.94050048551523E-02 
447	 7.00703255003927E-02 
448	 6.69523529628747E-02 
449	 6.86754517922821E-02 
450	 0.070966412495242 
451	 7.14225142949309E-02 
452	 7.00371314971206E-02 
453	 6.78783924914997E-02 
454	 0.067713530499305 
455	 7.02832335884832E-02 
456	 7.12457500985031E-02 
457	 6.97328830670119E-02 
458	 6.69641113351633E-02 
459	 6.55530798214052E-02 
460	 6.91139670674945E-02 
461	 7.23744649345833E-02 
462	 0.072471381594303 
463	 7.04119084163852E-02 
464	 7.01201330720835E-02 
465	 7.00944468010543E-02 
466	 6.86450410480152E-02 
467	 6.85233583070545E-02 
468	 6.88550778959288E-02 
469	 6.88026588935634E-02 
470	 6.77520886814095E-02 
471	 6.71754282209119E-02 
472	 6.59099748975048E-02 
473	 6.42670573430806E-02 
474	 6.58412606892046E-02 
475	 0.066961813472506 
476	 6.69870232099077E-02 
477	 6.67974390382154E-02 
478	 6.97346110462108E-02 
479	 6.97506785533627E-02 
480	 6.73002989235789E-02 
481	 6.87403969169792E-02 
482	 6.94203915254514E-02 
483	 6.90176587864558E-02 
484	 6.83167596216947E-02 
485	 0.068963389308771 
486	 6.87933424787769E-02 
487	 6.85307400957338E-02 
488	 6.95417853380886E-02 
489	 6.73088995764343E-02 
490	 6.65735279378253E-02 
491	 6.85136411755618E-02 
492	 6.86053113036841E-02 
493	 6.98616232839135E-02 
