Wavelength	MAC_ARB_098_334_210602_L00004.asd
350	 2.00720627770187E-02 
351	-0.407955282030506 
352	-0.427037141603694 
353	 8.54568496352263E-02 
354	 0.180162156469447 
355	 1.25343860095517E-02 
356	-0.141196669703458 
357	-0.199373507109395 
358	-4.64255555851406E-02 
359	 9.25220063484331E-02 
360	 3.28478268390407E-02 
361	 4.18370842776387E-02 
362	-3.56833124203712E-02 
363	-0.098598383027495 
364	 4.06060056376356E-03 
365	 8.83500116682275E-02 
366	 0.123731200776766 
367	 0.112124763572237 
368	 6.45651276122586E-02 
369	 3.22173509568081E-02 
370	 0.018974406093018 
371	 1.52695437994895E-02 
372	 1.34622939652163E-02 
373	 1.57459170420529E-02 
374	 3.42332177730656E-02 
375	 7.38776040544863E-02 
376	 6.16974846600953E-02 
377	 4.25012865559748E-02 
378	 4.03899845471752E-02 
379	 4.36591769351014E-02 
380	 0.072348718082801 
381	 7.77457484065862E-02 
382	 4.06639331465909E-02 
383	 4.58185630673138E-02 
384	 0.056356902761138 
385	 6.09149146632767E-02 
386	 5.85830471049086E-02 
387	 4.43288820237428E-02 
388	 4.28965342146547E-02 
389	 5.62796265024458E-02 
390	 6.03502599214336E-02 
391	 5.81600730890071E-02 
392	 4.05303048162459E-02 
393	 1.67119106240813E-02 
394	 5.30008379814909E-02 
395	 6.13858305046505E-02 
396	 4.49746111115771E-02 
397	 4.13827157971499E-02 
398	 4.99128983901457E-02 
399	 5.18841572502132E-02 
400	 4.54674452756448E-02 
401	 4.71088882196655E-02 
402	 5.16295146562173E-02 
403	 0.056618032527538 
404	 5.74702502619166E-02 
405	 3.96222371122073E-02 
406	 3.92198063865362E-02 
407	 5.13224769937573E-02 
408	 5.58182883788505E-02 
409	 6.12173259317702E-02 
410	 6.22222848086327E-02 
411	 5.80055229033673E-02 
412	 5.34956657230631E-02 
413	 4.71107796625927E-02 
414	 4.46709186006287E-02 
415	 4.85886068318838E-02 
416	 5.02593654863114E-02 
417	 0.04899171136804 
418	 0.050087180433925 
419	 5.86250777919067E-02 
420	 0.059995572540399 
421	 5.63752771267053E-02 
422	 5.15150200324834E-02 
423	 4.92313158895432E-02 
424	 5.14259079566897E-02 
425	 5.61410758359737E-02 
426	 5.99818607440761E-02 
427	 5.80940408084025E-02 
428	 5.64029968370979E-02 
429	 5.65802873394408E-02 
430	 5.76700263938147E-02 
431	 5.79009375368284E-02 
