Wavelength	TRI_ARB_099_264_210422_L00003.asd
350	-0.375489746110387 
351	-0.573908005515763 
352	-0.422486003220234 
353	 0.185368517098003 
354	-4.26632740912794E-02 
355	-0.150825782843754 
356	 1.54147640319799E-02 
357	 2.62971291554648E-02 
358	 3.75372110185305E-02 
359	-6.66008998248611E-02 
360	-0.287567080290423 
361	-4.91927648164392E-02 
362	 5.47990561423271E-02 
363	 4.24412942624324E-02 
364	 5.73443327659902E-02 
365	 8.50864758432719E-02 
366	 0.074286880634691 
367	 3.63098123728893E-02 
368	 4.70038226032351E-02 
369	 7.22859813966741E-02 
370	 9.13578421827688E-02 
371	 8.75184687525173E-02 
372	 5.88935658654714E-02 
373	 3.47278917891149E-02 
374	 0.02750515773745 
375	 4.05354522620121E-02 
376	 6.64864160456631E-02 
377	 8.73858527844212E-02 
378	 8.82681892150682E-02 
379	 6.08734969929214E-02 
380	 6.81831223412605E-02 
381	 8.28331947869602E-02 
382	 7.53387085731303E-02 
383	 6.21638555360288E-02 
384	 6.77488250288099E-02 
385	 8.44242173140514E-02 
386	 9.12222034559116E-02 
387	 9.52875269755027E-02 
388	 8.42741892659845E-02 
389	 6.68931530134431E-02 
390	 0.072618858868769 
391	 8.38010858052717E-02 
392	 0.084163575707065 
393	 7.14409304221696E-02 
394	 7.79673801407437E-02 
395	 8.69768502081783E-02 
396	 9.06421676617151E-02 
397	 8.75232430317856E-02 
398	 9.19776896528549E-02 
399	 9.04438914536116E-02 
400	 8.59750071731562E-02 
401	 9.93751293211049E-02 
402	 8.46649971166343E-02 
403	 7.57958381287142E-02 
404	 9.28898448628128E-02 
405	 8.66053578651722E-02 
406	 7.54138322234267E-02 
407	 7.40068573299613E-02 
408	 8.83698064712531E-02 
409	 8.04493874846244E-02 
410	 7.78011812487508E-02 
411	 8.74688725767481E-02 
412	 8.96057416987246E-02 
413	 8.75547333475461E-02 
414	 8.37466356503744E-02 
415	 0.08010523130729 
416	 7.57207556826615E-02 
417	 7.99118262484451E-02 
418	 8.73380522356585E-02 
419	 0.087975249599314 
420	 0.091083629718977 
421	 9.11396838165745E-02 
422	 8.81512635114379E-02 
423	 8.98911793333229E-02 
424	 8.91021273607584E-02 
425	 8.79967365097109E-02 
426	 0.089088073927151 
427	 8.93081012125553E-02 
428	 0.091357880350033 
429	 9.41317033985278E-02 
430	 9.48910976459286E-02 
431	 9.46001755477278E-02 
432	 9.41687570045448E-02 
433	 9.42492433682986E-02 
434	 9.51866530859806E-02 
435	 9.60045545701656E-02 
436	 9.62366445304896E-02 
437	 9.62920046666749E-02 
438	 9.96352700290407E-02 
439	 9.81911176141589E-02 
440	 9.60609483457715E-02 
441	 0.103827424877165 
442	 0.103847953663243 
443	 0.102186955498582 
444	 0.103378833064205 
445	 0.103180551790352 
446	 0.101581899142653 
447	 0.100243126964306 
448	 0.1010448133147 
449	 0.103785688500084 
450	 0.104089995228117 
451	 0.102612368052061 
452	 0.104444559954656 
453	 0.104285293396838 
454	 0.104637888443665 
455	 0.106620150833843 
456	 0.104108767503294 
457	 0.102586145786244 
458	 0.103372065542295 
459	 0.105779200643165 
460	 0.109882598939912 
461	 0.109111025809814 
462	 0.104460033126611 
463	 0.106719162835084 
464	 0.106344251751929 
465	 0.104989920016726 
466	 0.105406023742029 
467	 0.104544612785652 
468	 0.104163449059003 
469	 0.105299727325411 
470	 0.10795256191471 
471	 0.107309934864783 
472	 0.104573649461371 
473	 0.102445831398506 
474	 0.104892756870869 
475	 0.104764090536354 
476	 0.104612957309892 
477	 0.108037931070087 
478	 0.107901590909502 
479	 0.106026123162655 
480	 0.104358507473327 
481	 0.104439606673199 
482	 0.103737105678848 
483	 0.103173075496549 
484	 0.103649821796745 
485	 0.104634031325636 
486	 0.103787952448524 
487	 0.103597593611436 
488	 0.107346196478497 
489	 0.106668378599002 
490	 0.105843715817924 
491	 0.106349666932573 
492	 0.104429273056863 
493	 0.105035617934606 
494	 0.106205236967317 
495	 0.105558483742816 
496	 0.106211172583428 
497	 0.105921674620923 
498	 0.105137280834617 
499	 0.105952709113322 
500	 0.105284256689963 
501	 0.105433235226168 
502	 0.107160558678987 
503	 0.106452577183183 
504	 0.107764095220314 
505	 0.109225981987141 
506	 0.108057520791753 
507	 0.109980369282758 
508	 0.111282524468834 
509	 0.110728352578233 
510	 0.110364798921798 
511	 0.111497226043738 
512	 0.112956085872954 
513	 0.113520048477174 
514	 0.113483365118256 
